Designator,Mid X,Mid Y,Rotation,Layer
D1,535.35,200.2,90.0,top
D10,567.3,200.2,90.0,top
D11,570.85,200.2,90.0,top
D12,574.4,200.2,90.0,top
D13,577.95,200.2,90.0,top
D14,581.5,200.2,90.0,top
D15,585.05,200.2,90.0,top
D16,588.6,200.2,90.0,top
D17,537.226,187.76,90.0,top
D18,540.8,187.76,90.0,top
D19,544.35,187.76,90.0,top
D2,538.9,200.2,90.0,top
D20,547.9,187.76,90.0,top
D21,551.45,187.76,90.0,top
D22,555.0,187.76,90.0,top
D23,558.55,187.76,90.0,top
D24,562.1,187.76,90.0,top
D25,565.65,187.76,90.0,top
D26,569.2,187.76,90.0,top
D27,572.75,187.76,90.0,top
D28,576.3,187.76,90.0,top
D29,579.85,187.76,90.0,top
D3,542.45,200.2,90.0,top
D30,583.4,187.76,90.0,top
D31,586.95,187.76,90.0,top
D32,459.02,199.94,90.0,top
D33,462.57,199.94,90.0,top
D34,466.12,199.94,90.0,top
D35,469.75,200.0,90.0,top
D36,473.3,200.0,90.0,top
D37,476.85,200.0,90.0,top
D38,480.4,200.0,90.0,top
D39,483.95,200.0,90.0,top
D4,546.0,200.2,90.0,top
D40,487.5,200.0,90.0,top
D41,491.05,200.0,90.0,top
D42,494.6,200.0,90.0,top
D43,498.15,200.0,90.0,top
D44,501.7,200.0,90.0,top
D45,505.25,200.0,90.0,top
D46,508.8,200.0,90.0,top
D47,460.55,188.01,90.0,top
D48,464.1,188.01,90.0,top
D49,467.65,188.01,90.0,top
D5,549.55,200.2,90.0,top
D50,471.2,188.01,90.0,top
D51,474.75,188.01,90.0,top
D52,478.3,188.01,90.0,top
D53,481.85,188.01,90.0,top
D54,485.4,188.01,90.0,top
D55,488.95,188.01,90.0,top
D56,492.5,188.01,90.0,top
D57,496.05,188.01,90.0,top
D58,499.6,188.01,90.0,top
D59,503.15,188.01,90.0,top
D6,553.1,200.2,90.0,top
D60,506.7,188.01,90.0,top
D61,614.83,200.12,90.0,top
D62,618.38,200.12,90.0,top
D63,621.93,200.12,90.0,top
D64,625.48,200.12,90.0,top
D65,629.03,200.12,90.0,top
D66,632.58,200.12,90.0,top
D67,636.13,200.12,90.0,top
D68,639.68,200.12,90.0,top
D69,643.3,200.01,90.0,top
D7,556.65,200.2,90.0,top
D70,646.85,200.01,90.0,top
D71,650.4,200.01,90.0,top
D72,653.95,200.01,90.0,top
D73,657.5,200.01,90.0,top
D74,661.05,200.01,90.0,top
D75,621.88,188.22,90.0,top
D76,625.43,188.22,90.0,top
D77,628.98,188.22,90.0,top
D78,632.53,188.22,90.0,top
D79,636.08,188.22,90.0,top
D8,560.2,200.2,90.0,top
D80,639.63,188.22,90.0,top
D81,643.18,188.22,90.0,top
D82,646.73,188.22,90.0,top
D83,650.28,188.22,90.0,top
D84,653.83,188.22,90.0,top
D9,563.75,200.2,90.0,top
S1,417.69875,166.815,0.0,top
S10,589.14875,166.815,0.0,top
S11,608.19875,166.815,0.0,top
S12,627.24875,166.815,0.0,top
S13,646.29875,166.815,0.0,top
S14,665.34875,166.815,0.0,top
S15,684.39875,166.815,0.0,top
S16,703.44875,166.815,0.0,top
S17,417.69875,147.765,0.0,top
S18,436.74875,147.765,0.0,top
S19,455.79875,147.765,0.0,top
S2,436.74875,166.815,0.0,top
S20,474.84875,147.765,0.0,top
S21,493.89875,147.765,0.0,top
S22,512.94875,147.765,0.0,top
S23,531.99875,147.765,0.0,top
S24,551.04875,147.765,0.0,top
S25,570.09875,147.765,0.0,top
S26,589.14875,147.765,0.0,top
S27,608.19875,147.765,0.0,top
S28,627.24875,147.765,0.0,top
S29,646.29875,147.765,0.0,top
S3,455.79875,166.815,0.0,top
S30,674.87375,147.765,0.0,top
S31,703.44875,147.765,0.0,top
S32,422.46125,128.715,0.0,top
S33,446.27375,128.715,0.0,top
S34,465.32375,128.715,0.0,top
S35,484.37375,128.715,0.0,top
S36,503.42375,128.715,0.0,top
S37,522.47375,128.715,0.0,top
S38,541.52375,128.715,0.0,top
S39,560.57375,128.715,0.0,top
S4,474.84875,166.815,0.0,top
S40,579.62375,128.715,0.0,top
S41,598.67375,128.715,0.0,top
S42,617.72375,128.715,0.0,top
S43,636.77375,128.715,0.0,top
S44,655.82375,128.715,0.0,top
S45,679.63625,128.715,0.0,top
S46,703.44875,128.715,0.0,top
S47,424.8425,109.665,0.0,top
S48,451.03625,109.665,0.0,top
S49,470.08625,109.665,0.0,top
S5,493.89875,166.815,0.0,top
S50,489.13625,109.665,0.0,top
S51,508.18625,109.665,0.0,top
S52,527.23625,109.665,0.0,top
S53,546.28625,109.665,0.0,top
S54,565.33625,109.665,0.0,top
S55,584.38625,109.665,0.0,top
S56,603.43625,109.665,0.0,top
S57,622.48625,109.665,0.0,top
S58,641.53625,109.665,0.0,top
S59,672.4925,109.665,0.0,top
S6,512.94875,166.815,0.0,top
S60,703.44875,109.665,0.0,top
S61,429.605,90.615,0.0,top
S62,460.56125,90.615,0.0,top
S63,479.61125,90.615,0.0,top
S64,498.66125,90.615,0.0,top
S65,517.71125,90.615,0.0,top
S66,536.76125,90.615,0.0,top
S67,555.81125,90.615,0.0,top
S68,574.86125,90.615,0.0,top
S69,593.91125,90.615,0.0,top
S7,531.99875,166.815,0.0,top
S70,612.96125,90.615,0.0,top
S71,632.01125,90.615,0.0,top
S72,658.205,90.615,0.0,top
S73,684.39875,90.615,0.0,top
S74,703.44875,90.615,0.0,top
S75,420.08,71.565,0.0,top
S76,443.8925,71.565,0.0,top
S77,467.705,71.565,0.0,top
S78,539.1425,71.565,0.0,top
S79,608.19875,71.565,0.0,top
S8,551.04875,166.815,0.0,top
S80,627.24875,71.565,0.0,top
S81,646.29875,71.565,0.0,top
S82,665.34875,71.565,0.0,top
S83,684.39875,71.565,0.0,top
S84,703.44875,71.565,0.0,top
S9,570.09875,166.815,0.0,top
U1,433.07,205.74,0.0,top
U2,697.715,194.31,270.0,top
